SurvYear,UNITID,School,State,UndergradPop,PartM,PartW,OpExpMInd,OpExpMTeam,OpExpWInd,OpExpWTeam,MenRev,WomRev,TotRev,ExpMen,ExpWom
2013,197869,Appalachian State University,NC,15023,17,24,18423,313190,8931,214350,1295407,1195913,2491320,1295407,1195913
2013,104151,Arizona State University-Tempe,AZ,34852,17,14,81716,1389175,30799,431189,7679732,515002,8194734,7170588,3353085
2013,106458,Arkansas State University-Main Campus,AR,7557,16,15,29448,471175,21748,326214,1332104,1051160,2383264,1332104,1051160
2013,100858,Auburn University,AL,17978,15,25,78822,1182337,34266,856651,10245526,4791945,15037471,10245526,4791945
2013,150136,Ball State University,IN,15001,17,13,18795,319514,19404,252251,1801133,1407702,3208835,1801133,1407702
2013,223232,Baylor University,TX,13033,14,40,137169,1920360,32826,1313029,8182489,6283722,14466211,8182489,6283722
2013,142115,Boise State University,ID,12427,16,16,31311,500980,21250,339996,3319076,448350,3767426,1978592,1249635
2013,164924,Boston College,MA,9345,17,25,59846,1017384,23148,578712,5436156,220222,5656378,7117670,2987207
2013,201441,Bowling Green State University-Main Campus,OH,13329,17,12,17371,295313,19940,239279,1631570,1147692,2779262,1631570,1147692
2013,230038,Brigham Young University-Provo,UT,25084,19,17,91133,1731523,19299,328076,6341173,1672297,8013470,6341173,1672297
2013,110556,California State University-Fresno,CA,17550,15,17,59562,893428,30210,513563,2332403,2007501,4339904,2626883,2007501
2013,169248,Central Michigan University,MI,17606,18,24,18321,329778,12096,290292,1727945,1350683,3078628,1727945,1350683
2013,217882,Clemson University,SC,15993,14,12,96485,1350793,59913,718960,7019684,747692,7767376,5284037,2856979
2013,126818,Colorado State University-Fort Collins,CO,20180,17,15,43808,744730,38709,580634,4289235,2202343,6491578,4289235,2202343
2013,198419,Duke University,NC,6495,15,16,125140,1877093,60540,968632,27000243,3182066,30182309,14187972,5386179
2013,198464,East Carolina University,NC,18369,16,21,43090,689432,23901,501923,3006386,2369969,5376355,2601088,1902203
2013,169798,Eastern Michigan University,MI,13372,16,15,22188,355008,9885,148275,1967330,1202179,3169509,1749427,1252415
2013,198516,Elon University,NC,5464,17,25,13686,232657,6384,159591,1562901,1304736,2867637,1562901,1304736
2013,133669,Florida Atlantic University,FL,15566,15,12,48542,728134,33172,398069,2164783,1175877,3340660,1716593,1144925
2013,133951,Florida International University,FL,25645,16,15,31710,507365,22541,338109,1791811,1484682,3276493,1791811,1484682
2013,134097,Florida State University,FL,28709,13,30,83769,1089003,21486,644594,10559780,3580437,14140217,6412801,3580437
2013,139755,Georgia Institute of Technology-Main Campus,GA,13193,18,14,75811,1364600,51969,727561,6013750,480383,6494133,5931676,3496921
2013,139931,Georgia Southern University,GA,15718,20,17,10977,219532,7602,129242,798535,441769,1240304,1190653,793949
2013,139940,Georgia State University,GA,18267,16,14,32909,526542,25645,359028,1968343,1325375,3293718,1968343,1325375
2013,151351,Indiana University-Bloomington,IN,30910,18,16,111787,2012169,41608,665725,21912449,225899,22138348,10856739,3076345
2013,153603,Iowa State University,IA,25985,15,12,104870,1573044,97132,1165582,9586993,842935,10429928,6069137,3530902
2013,155399,Kansas State University,KS,17884,16,23,77509,1240151,42265,972088,8395773,333764,8729537,5744165,3306797
2013,203517,Kent State University at Kent,OH,18158,16,13,34500,551997,18032,234410,782595,526550,1309145,1676302,1167943
2013,159391,Louisiana State University and Agricultural & Mechanical College,LA,22707,15,13,68464,1026962,77161,1003094,7858767,414402,8273169,5310787,4097521
2013,159647,Louisiana Tech University,LA,6273,14,12,32525,455355,28231,338766,2340033,1559004,3899037,2206283,1427779
2013,237525,Marshall University,WV,8211,14,15,42923,600916,23070,346043,3065649,1352305,4417954,3065649,1352305
2013,204024,Miami University-Oxford,OH,14952,15,14,28688,430314,15519,217263,1747252,1481546,3228798,1747252,1481546
2013,171100,Michigan State University,MI,34576,16,29,164241,2627850,37339,1082837,18352543,959923,19312466,9878240,3679055
2013,220978,Middle Tennessee State University,TN,17354,17,18,30893,525175,30430,547734,2253806,1784715,4038521,2253806,1784715
2013,176080,Mississippi State University,MS,15048,18,14,56257,1012629,47211,660951,6571274,2778288,9349562,4377759,2778289
2013,188030,New Mexico State University-Main Campus,NM,11215,18,14,47001,846024,34063,476875,2473939,1423127,3897066,2473939,1423128
2013,199193,North Carolina State University at Raleigh,NC,21330,15,14,69789,1046838,27551,385707,12694709,673569,13368278,7928323,2687739
2013,147703,Northern Illinois University,IL,13813,16,14,23760,380161,17366,243128,1655476,1221797,2877273,1655476,1221797
2013,147767,Northwestern University,IL,8458,13,16,72974,948667,36244,579897,13508583,62055,13570638,5753222,3188229
2013,204796,Ohio State University-Main Campus,OH,39877,12,23,180310,2163718,43276,995337,21326066,1114369,22440435,6041361,3264345
2013,204857,Ohio University-Main Campus,OH,16732,13,17,43144,560866,11428,194269,3672766,1139697,4812463,3233899,1472120
2013,207388,Oklahoma State University-Main Campus,OK,17747,17,16,65479,1113140,48528,776442,10920836,798455,11719291,11054815,2720613
2013,209542,Oregon State University,OR,18118,16,18,33532,536516,13694,246499,5526106,2163914,7690020,8435185,2163914
2013,214777,Pennsylvania State University-Main Campus,PA,38543,14,32,84066,1176917,33606,1075407,10386880,1092888,11479768,5533367,4324201
2013,243780,Purdue University-Main Campus,IN,28615,16,12,87873,1405961,82062,984746,9492614,3967405,13460019,6385633,3073550
2013,227757,Rice University,TX,3867,15,13,41327,619900,25295,328841,3623228,1815711,5438939,3623228,1815711
2013,186380,Rutgers University-New Brunswick,NJ,31630,16,21,74571,1193131,44739,939513,5864737,3689918,9554655,4663303,3689918
2013,122409,San Diego State University,CA,23839,17,14,56882,966991,34057,476803,7864597,1162473,9027070,6487909,2313775
2013,122755,San Jose State University,CA,20772,13,13,36454,473906,25878,336417,2180864,1481010,3661874,2180864,1481010
2013,228246,Southern Methodist University,TX,6116,15,23,68679,1030192,23351,537073,7057072,2787577,9844649,7057072,2787577
2013,243744,Stanford University,CA,6980,19,17,38940,739860,33793,574487,6605434,17576589,24182023,4993991,3797256
2013,196413,Syracuse University,NY,14196,16,16,109306,1748888,69082,1105307,29766537,1785143,31551680,13764298,4442131
2013,216339,Temple University,PA,24601,13,15,83856,1090132,33208,498119,4767101,2484534,7251635,4767101,2484534
2013,228723,Texas A & M University-College Station,TX,39535,15,30,84766,1271490,36372,1091162,8625079,1378624,10003703,7043560,5416107
2013,228875,Texas Christian University,TX,8309,17,21,41080,698365,23362,490601,6761637,3854942,10616579,6761637,3854942
2013,228459,Texas State University,TX,25683,18,25,21129,380327,15431,385768,1676829,1243496,2920325,1676829,1243496
2013,229115,Texas Tech University,TX,24302,15,15,84361,1265414,63067,946012,6315466,1010950,7326416,5758482,3279608
2013,100751,The University of Alabama,AL,26247,14,31,99920,1398885,25198,781146,14800313,841837,15642150,6573147,3105550
2013,221759,The University of Tennessee-Knoxville,TN,19685,32,10,28924,925552,100096,1000962,17358362,7052275,24410637,5615677,4270690
2013,228778,The University of Texas at Austin,TX,36597,14,17,165047,2310663,103147,1753501,14962686,1655541,16618227,9597235,5375145
2013,228796,The University of Texas at El Paso,TX,12942,18,16,44181,795260,44562,712998,3714108,1729271,5443379,3432998,2129560
2013,229027,The University of Texas at San Antonio,TX,19890,17,15,26801,455611,23341,350121,1596536,1506921,3103457,1596536,1506921
2013,102368,Troy University,AL,9109,15,19,12484,187255,7677,145854,2221506,1751768,3973274,2221506,1751768
2013,160755,Tulane University of Louisiana,LA,6487,15,13,58766,881496,25489,331353,881497,705713,1587210,2816663,1981113
2013,196088,University at Buffalo,NY,17793,15,14,20696,310447,20194,282722,1848705,1234970,3083675,1848705,1234970
2013,200800,University of Akron Main Campus,OH,15456,17,15,21961,373341,12832,192481,2168294,1330829,3499123,2168294,1330829
2013,100663,University of Alabama at Birmingham,AL,8312,15,21,43029,645439,16723,351186,3592461,1710499,5302960,2959620,1714211
2013,104179,University of Arizona,AZ,28289,16,11,203954,3263256,60189,662074,27518562,511762,28030324,9830943,4117397
2013,106397,University of Arkansas,AR,18455,15,12,110995,1664918,83723,1004673,15807554,237981,16045535,7681927,3700971
2013,110635,University of California-Berkeley,CA,25220,16,33,63480,1015678,21038,694252,9658364,1214500,10872864,6287360,2999691
2013,110662,University of California-Los Angeles,CA,28077,16,31,135085,2161356,27768,860806,12168231,1426501,13594732,8376981,3358280
2013,132903,University of Central Florida,FL,36096,15,14,57473,862099,28615,400607,3968189,662039,4630228,3017777,1909559
2013,201885,University of Cincinnati-Main Campus,OH,20278,14,16,91821,1285493,28038,448604,6631825,2161121,8792946,6541908,2161121
2013,126614,University of Colorado Boulder,CO,23793,17,13,76209,1295555,67673,879750,5653157,559016,6212173,6049581,3228784
2013,129020,University of Connecticut,CT,17083,15,30,184208,2763116,67480,2024394,7542651,4043674,11586325,8282680,6323854
2013,134130,University of Florida,FL,30054,16,11,140871,2253940,80385,884239,10604524,108306,10712830,9540547,3058679
2013,139959,University of Georgia,GA,24654,16,13,62567,1001079,54310,706026,8050969,859487,8910456,5729273,3768793
2013,141574,University of Hawaii at Manoa,HI,11822,17,14,18257,310375,22087,309211,2565199,1626380,4191579,2565199,1626380
2013,225511,University of Houston,TX,22475,16,14,29287,468585,19744,276409,3111083,1519435,4630518,3111083,1519435
2013,142285,University of Idaho,ID,7976,15,13,28794,431909,29132,378712,1464547,1024045,2488592,1464547,1024045
2013,145637,University of Illinois at Urbana-Champaign,IL,31129,14,21,89371,1251196,36041,756865,17519546,1090071,18609617,8114984,3248059
2013,153658,University of Iowa,IA,19301,15,14,114141,1712116,85511,1197159,10594220,987250,11581470,6500552,4098604
2013,155317,University of Kansas,KS,16877,19,33,112317,2134030,34457,1137068,18253973,294540,18548513,8479332,3388792
2013,157085,University of Kentucky,KY,19802,16,13,171349,2741577,82263,1069418,23655649,611611,24267260,16198525,4608691
2013,160658,University of Louisiana at Lafayette,LA,12274,15,14,46086,691292,18881,264327,2061113,1082591,3143704,2061113,1082591
2013,159993,University of Louisiana at Monroe,LA,4851,16,15,11483,183726,11227,168402,863871,719089,1582960,863871,719089
2013,157289,University of Louisville,KY,12301,15,16,138607,2079103,49012,784194,40572485,1090022,41662507,16354976,3920464
2013,163286,University of Maryland-College Park,MD,24400,16,14,101327,1621235,61951,867312,13525145,850950,14376095,6775304,3899238
2013,166629,University of Massachusetts-Amherst,MA,20384,13,23,102729,1335480,18807,432567,3913716,1897192,5810908,3913716,1897192
2013,220862,University of Memphis,TN,12281,15,18,184199,2762984,40864,735556,9475690,2731294,12206984,9475690,2731294
2013,135726,University of Miami,FL,10517,16,18,65498,1047964,38533,693598,7902331,831076,8733407,5753784,3723358
2013,170976,University of Michigan-Ann Arbor,MI,27228,17,36,92156,1566656,28105,1011792,13636966,195948,13832914,7457555,3294619
2013,174066,University of Minnesota-Twin Cities,MN,27866,14,28,128079,1793102,34735,972592,13144909,647438,13792347,11017377,3965101
2013,176017,University of Mississippi,MS,15411,16,13,78424,1254782,60970,792606,7398467,136545,7535012,5899671,3438967
2013,178396,University of Missouri-Columbia,MO,25168,16,14,82505,1320082,52044,728609,12593569,2814242,15407811,6284215,2814242
2013,181464,University of Nebraska-Lincoln,NE,18102,18,29,76181,1371258,40139,1164024,8454574,1503162,9957736,6338162,4012769
2013,182281,University of Nevada-Las Vegas,NV,16508,16,14,35238,563809,27183,380566,8535263,1492096,10027359,3548890,1492096
2013,182290,University of Nevada-Reno,NV,12919,14,15,45069,630964,24252,363777,3592446,1244302,4836748,2112698,1244302
2013,187985,University of New Mexico-Main Campus,NM,16826,14,28,81771,1144792,19690,551310,5971891,1991651,7963542,3686141,1991651
2013,199120,University of North Carolina at Chapel Hill,NC,17519,17,15,106068,1803161,47985,719778,20905642,894010,21799652,7276883,3476877
2013,227216,University of North Texas,TX,24126,14,15,28990,405866,22720,340804,2381607,1684829,4066436,2146033,1413094
2013,152080,University of Notre Dame,IN,8449,14,13,105875,1482252,137181,1783359,3383814,1386194,4770008,5392103,5776591
2013,207500,University of Oklahoma-Norman Campus,OK,17399,17,25,105930,1800808,50661,1266528,9948655,2226884,12175539,8106591,5596048
2013,209551,University of Oregon,OR,18872,17,22,66590,1132031,20559,452303,9543671,183772,9727443,6781749,3132885
2013,215293,University of Pittsburgh-Pittsburgh Campus,PA,17435,14,18,109620,1534678,37525,675443,14171674,3334590,17506264,9187568,4098938
2013,102094,University of South Alabama,AL,8754,14,13,28707,401895,17774,231064,1909407,1261475,3170882,1696927,1241620
2013,218663,University of South Carolina-Columbia,SC,22408,16,25,59425,950804,35065,876620,8040730,927216,8967946,7051872,4465181
2013,137351,University of South Florida-Main Campus,FL,23440,14,16,78597,1100361,58865,941840,5332470,486023,5818493,4440325,2619688
2013,123961,University of Southern California,CA,17578,17,17,59049,1003825,35849,609434,6818145,2820166,9638311,6916841,2863788
2013,176372,University of Southern Mississippi,MS,10829,15,16,30861,462908,19912,318592,2313336,1310828,3624164,2313336,1310828
2013,206084,University of Toledo,OH,12947,13,28,74912,973854,23196,649477,2190051,1888579,4078630,2190051,1888579
2013,207971,University of Tulsa,OK,3272,15,23,70029,1050433,19835,456194,4673616,2224440,6898056,4673616,2224440
2013,230764,University of Utah,UT,17035,15,14,46605,699069,27349,382888,6628333,133947,6762280,4227533,2141826
2013,234076,University of Virginia-Main Campus,VA,14444,17,30,101320,1722444,34232,1026967,8297383,976280,9273663,7609746,3864512
2013,236948,University of Washington-Seattle Campus,WA,27015,15,13,92332,1384984,64548,839120,9429134,837262,10266396,6751828,3064864
2013,240444,University of Wisconsin-Madison,WI,28183,17,15,97289,1653916,49698,745468,19370860,1577454,20948314,7596206,3275770
2013,240727,University of Wyoming,WY,8254,16,13,37127,594026,34483,448279,2852422,1079363,3931785,2917105,1594209
2013,230728,Utah State University,UT,15152,16,21,30405,486477,15376,322899,1807207,1109430,2916637,1807207,1109430
2013,221999,Vanderbilt University,TN,6755,12,12,108505,1302055,69846,838152,8552626,4417447,12970073,7075750,4417447
2013,233921,Virginia Polytechnic Institute and State University,VA,23441,16,13,64958,1039334,64195,834536,8127450,1330540,9457990,6159368,3239983
2013,197197,Wagner College,NY,1764,12,15,31727,380725,8512,127684,1488533,1147566,2636099,1510414,1146269
2013,199847,Wake Forest University,NC,4752,13,18,89985,1169807,30105,541882,7425435,2649198,10074633,7425435,2649198
2013,236939,Washington State University,WA,20254,17,32,43288,735900,19320,618237,5165270,774319,5939589,5651817,2659726
2013,238032,West Virginia University,WV,21027,15,35,179664,2694965,41511,1452871,5548249,1340928,6889177,7769328,3664090
2013,157951,Western Kentucky University,KY,13234,16,21,35249,563982,15394,323269,2691424,1725229,4416653,2691424,1725229
2013,172699,Western Michigan University,MI,15820,16,15,25102,401634,13925,208868,2138521,1472207,3610728,2138520,1472206
